n t_heapsort
500000 0.086981
600000 0.105017
700000 0.124680
800000 0.143770
900000 0.163584
1000000 0.183330
1100000 0.204513
1200000 0.224786
1300000 0.244564
1400000 0.299027
1500000 0.286500
1600000 0.306537
1700000 0.330669
1800000 0.348300
1900000 0.372720
2000000 0.391037
2100000 0.412671
2200000 0.437467
2300000 0.478316
2400000 0.483049
2500000 0.498543
2600000 0.539142
2700000 0.552089
2800000 0.566487
2900000 0.589540
3000000 0.608395
3100000 0.632595
3200000 0.656248
3300000 0.673732
3400000 0.699865
3500000 0.727964
3600000 0.747310
3700000 0.765484
3800000 0.791115
3900000 0.820354
4000000 0.846920
4100000 0.879589
4200000 0.911796
4300000 0.945609
4400000 0.941888
4500000 0.965452
4600000 0.994796
4700000 1.010180
4800000 1.034274
4900000 1.077152
5000000 1.265799
