n t_heapsort_peor
500000 0.118174
600000 0.140152
700000 0.175262
800000 0.205213
900000 0.222257
1000000 0.24783
1100000 0.269842
1200000 0.314431
1300000 0.344993
1400000 0.356353
1500000 0.395371
1600000 0.43044
1700000 0.435681
1800000 0.462348
1900000 0.490096
2000000 0.517955
2100000 0.547851
2200000 0.575429
2300000 0.604925
2400000 0.638817
2500000 0.661302
2600000 0.68489
2700000 0.716956
2800000 0.737418
2900000 0.78282
3000000 0.825168
3100000 0.852755
3200000 0.898597
3300000 0.90771
3400000 0.934313
3500000 1.00299
3600000 0.99945
3700000 1.027
3800000 1.19502
3900000 1.31496
4000000 1.13447
4100000 1.14419
4200000 1.22379
4300000 1.21687
4400000 1.27656
4500000 1.29666
4600000 1.37374
4700000 1.38132
4800000 1.37651
4900000 1.39589
5000000 1.42319
