n t_mergesort
100000 0.014513
200000 0.025257
300000 0.034610
400000 0.046968
500000 0.056863
600000 0.070534
700000 0.088549
800000 0.098981
900000 0.110084
1000000 0.122230
1100000 0.136681
1200000 0.146991
1300000 0.165340
1400000 0.188045
1500000 0.202474
1600000 0.213034
1700000 0.235433
1800000 0.277378
1900000 0.274593
2000000 0.268490
2100000 0.273637
2200000 0.295171
2300000 0.313330
2400000 0.327592
2500000 0.340956
2600000 0.353942
2700000 0.369706
2800000 0.386521
2900000 0.417814
3000000 0.418887
3100000 0.443643
3200000 0.497131
3300000 0.464216
3400000 0.479939
3500000 0.493502
3600000 0.501344
3700000 0.514913
3800000 0.534740
3900000 0.553881
4000000 0.566417
4100000 0.566076
4200000 0.575919
4300000 0.595324
4400000 0.618462
4500000 0.639281
4600000 0.664342
4700000 0.670177
4800000 0.682555
4900000 0.685618
5000000 0.699433
