n t_mergesort_peor
100000 0.041054
200000 0.0842645
300000 0.12821
400000 0.169975
500000 0.212589
600000 0.261733
700000 0.348132
800000 0.542329
900000 0.527683
1000000 0.431781
1100000 0.476925
1200000 0.523517
1300000 0.564981
1400000 0.607805
1500000 0.676426
1600000 0.714667
1700000 0.749222
1800000 0.790423
1900000 0.862287
2000000 0.914105
2100000 0.962133
2200000 0.976428
2300000 1.02433
2400000 1.0676
2500000 1.11207
2600000 1.1571
2700000 1.20565
2800000 1.25858
2900000 1.29849
3000000 1.34769
3100000 1.39817
3200000 1.44285
3300000 1.50806
3400000 1.53103
3500000 1.58622
3600000 1.64159
3700000 1.66464
3800000 1.73137
3900000 1.7605
4000000 1.8693
4100000 2.12878
4200000 2.10343
4300000 2.07699
4400000 2.28384
4500000 2.12687
4600000 2.13969
4700000 2.2466
4800000 2.56123
