n t_quicksort
500000 0.072902
600000 0.087989
700000 0.10443
800000 0.120163
900000 0.135651
1000000 0.156005
1100000 0.169004
1200000 0.186469
1300000 0.198622
1400000 0.22334
1500000 0.236833
1600000 0.250464
1700000 0.271293
1800000 0.284418
1900000 0.303754
2000000 0.316908
2100000 0.342675
2200000 0.361123
2300000 0.387695
2400000 0.389125
2500000 0.412935
2600000 0.42414
2700000 0.435581
2800000 0.449898
2900000 0.473578
3000000 0.52291
3100000 0.527145
3200000 0.525559
3300000 0.549424
3400000 0.55811
3500000 0.585309
3600000 0.602837
3700000 0.611854
3800000 0.629249
3900000 0.647952
4000000 0.673164
4100000 0.695653
4200000 0.738482
4300000 0.722327
4400000 0.760826
4500000 0.774505
4600000 0.782145
4700000 0.835385
4800000 0.810081
4900000 0.827985
5000000 0.848433
